Tweets,Sentiment
Yes he has lost it. Crazy to watch the transformation after the Trump spell. https://t.co/hcBjrZHsgQ,neg
@HeimsMackenize @AOC @RepSarbanes The vast majority of super rich individuals are Democrats.  Clinton raised almost 50% more money for her campaign and had significantly more corporate and PAC donations than Trump. Who exactly is this hurting again?,pos
"While everyone is freaking out about @IlhanMN's tweets, @RonanFarrow and @adamentous report that Israeli intelligence firm Psy-Group actually consummated a 2016 election interference campaign to elect Donald Trump, according to a key Mueller witness. https://t.co/0cZHGfmWyB https://t.co/i0L1PBWhZD",pos
2020 'Snowman(woman)' Amy Klobuchar Insults Donald Trump's Hair https://t.co/N7jJRrFdwn,neg
@Change_Britain He can't see hes being toyed with....😂 just like trump is by n Korea and Russia 😂😂😂😂😂😂😂,pos
He will say anything that will help him win. Wants to bring ppl together why don't he start with himself and stop the hatred and bashing of Trump every second he can. But everyone thinks that's ok to do,pos
Average tax refunds are down 8.4% in the wake of Trump tax cuts https://t.co/Jj6RVgGWIB,neg
"@smilingcobra I listen to myself saying Fuck Trump. But then again, I didn't vote for him and you did.",neg
Trump is in El Paso...,neg
@Anpalacios5 @LosOcotillos So you believe in his message but don’t believe that the nfl would black ball him with people like trump and pence voicing concern?,pos
@MaryMiggins1 I’m so sorry Mary! Just try to hang on. Not much longer. But things are happening now behind the scenes; you will begin to start seeing arrests of mid-level and upper-level people. Has Trump broken any promises ever to us? No. Promises made promises kept!,neg
Trump's El Paso rally: What to expect https://t.co/GS4QwA6SbB via @YouTube,neg
"@MrWyattLA So glad that JFK JR. and President Trump were friend's. He has said he change his, way of thinking, and his heart about life.",pos
@Momathree @MrDane1982 It is not in the speech!  It was a remark to the reporters and I watched it. SHE SAID IT!    It was the BIGGEST bernie lying talking point picked up by trump and GOP.  WISCONSIN WISCONSIN WISCONSIN.  Amy knew what she was doing and it was trash.,neg
"@Joy_Villa Who are you? Yeah your trending, but all you did was make a statement with clothes. Can you outline why you feel the need for a wall and what about Donald Trump's other policy's you side with (and why).",pos
"@Alyssa_Milano @GavinNewsom Good luck with that, Trump will just invoke U.S. Code Title 10, then Gov Newsome can kiss butt.",pos
Why does @CNN suck?  Here ya go.  The Grammar rocks as well.  How DOES one catch a fish stick?  🤔  TRUMP FISHGATE #CNNSUCKS https://t.co/SkH7XpVfFu,neg
PRESIDENT Donald J. Trump IS  STANDING UP FOR AMERICA 🗽 WE STAND W/ President Donald J. Trump 1000%👍THE WALL 🗽,pos
"@SteveScalise Likewise, when you're ""concerned"" about what Trump tweets or say everyday..... Empty words!!!!",neg
Remember Jessy Livermore was waiting for his bathroom decors for weeks and months. Don't get spoiled. #hashtag #trump #WhatMenWant #Feminism #PedroSanchez #ihavenoidea,neg
@richismo77 @john_sipher @vermontgmg Ok. Maybe she's a spy. But how did she get into the USA? These Russians often got special visas from the Obama administration. Right before going over to Trump Tower. Does anyone here smell a rat?,pos
@EdKrassen @realDonaldTrump And Brett Kavanaugh had so much proof against him right? Why Trump wins 2020.,pos
"HEY EVERYONE....even El Paso local news pointed out that Trump got only 26% vote there. And that NOT so many local people will attend his rally today. Instead people will be coming in from OTHER locations.  Let's support Beto O,Rourke on his rally. Trump does NOT tell the truth.",pos
Calling someone anti-Semitic because they hate what the Likud is doing is like calling someone anti-American because they hate Trump.,neg
"Just think, Trump voters, your taxes could pay for a needy billionaire’s new yacht",neg
Trump just spewed disgusting racism and obvious lies in excuse for wall emergency - https://t.co/pFc6fjl9pu,neg
"@elcuckerino I listen to the anti-MLM podcast because I got sucked in by a YouTube story about LuLaRoe. Deann is like a successful Vandersteel. 
If anyone doesn't know about what happened, here is an article to fill you in. https://t.co/QBjnwr3b4l",pos
"@GOPChairwoman Ronna, Ronna, Ronna.

Why do you think that someone who would disown her family name at the suggestion of Donald Trump has the standing, let alone the credibility, to speak for the American people?",neg
@samzhang428 Macomb is likelier to go harder for Trump enough to flip 9 than Gennessee to flip 5,neg
The 22 women who have accused Trump of sexual misconduct https://t.co/8zsUN2QcNn,neg
@jamesoliphant I think that’s how Trump eats it too,neg
Of Course the Bezos Dick-Pic Imbroglio Has a Trump Connection - Vanity Fair https://t.co/wFmxxgPjdz,pos
And now deny it to make President Trump look bad.  Nice try fellas! https://t.co/XeLXpheihc,neg
"@10FathomLine @AmbJohnBolton To be fair, the US under Jesuit control has been interested in invading Iran and coups in South America long before Trump. It's never a single reason for these big events, always multifaceted.The oil yes but also for other reasons",pos
Just like her posting that video dancing to childish gambino this is america in response to Trump like what’s your purpose being twitter famous or legislating I’m annoyed,pos
"El Paso officials denounce Trump's border comments ahead of his 1st 2019 campaign rally
https://t.co/jgjlvJcZj1",neg
Billionaire liberal threatens to unload on Dems if they don't impeach Trump https://t.co/MzSjLUwTPN  @realDonaldTrump,neg
"@MaydenLane @ggreenwald @IlhanMN @DonnaShalala I don't know what poll you're looking at. Trump has been terrible for American Jews. He called anti-semitic bigots in Charlottesville, ""good people."" He forgot to mention Jews in his first Holocaust remembrance message. Please don't conflate the two issues.",pos
@IAmSueSue2 @JACochran29 @MollyJongFast It was Fred Trump who started spinning the “Donald” lies &amp; myth...he truly wanted Donald to be POTUS one day.,pos
"Ahead of Trump's El Paso visit, dozens of Americans link hands at the southern border forming a human wall - CNN https://t.co/Lq4hjVOZQT",neg
"Trump administration's Middle East peace plan finished, officials say https://t.co/9pCSeDm72F",pos
"@Warm_Quilt @realDonaldTrump @GOP Yes, we are and in a worse position than before.

Ray Dalio: 70% chance of recession before 2020 election - The roaring American economy will probably sink into a recession before President Trump stands for re-election in 2020… https://t.co/OcHPN0nxwL",neg
1st order should be impeach trump they now delay and are full if 💩 #MondayMotivation common sense! @realDonaldTrump,neg
@seattletimes As lomg as people still click their heels for Trump they wont care what government takes in taxes because Trump will just blame socialism for the spending not his cronies getting their tax breaks. Par for the course.,neg
"@AmyDentata Also, Trump is quite clearly taking all the heat. The GOP thrives on shutdowns and chaos. Disaster capitalism means deregulation and more Heritage Foundation judges.",neg
@george_capen It will be easier to recognize a Trump supporter from farther away.,pos
"@matthewjdowd @DonCheadle And then some random scandal pops up, and the whole pact looks silly. Dems looks silly. Trump gets re-elected, appoints Don Jr Vice President and no one stops him.",neg
@washingtonpost LOL.  Thanks for doing the math!  More moronic stupidity from the Trump family/administration.,neg
"@MsMollyRachael I can't figure out what I'm watching here? Bad batch of Vodka? Anyone translate Russian?
Someone filming but no one seeming to even notice. Dude must be related to Trump.",neg
@Code_Tripping @realDonaldTrump Looks like they are Worshipping TRUMP like he's some sort of god. Why doesn't YAHWEH get that kind of adoration? JESUS CHRIST is the only GOD I will ever honor. #JesusIsLord,pos
"@ChrisEvans I guess this is how a #StableGenius operates. #Bizarroworld Trump must be such a nice, down-to-earth guy.",pos
"@RWSalt @gatewaypundit BOOM! Trump Approval Hits 52% — 9 Point Jump in 10 Days and One SOTU Address!

#TrumpWave- Keeping America Great Again One Day At A Time  #KAGA2020 https://t.co/mHV2c4zOT3",pos
"@nathangoode @IlhanMN I mean, trump tweeted THIS https://t.co/c9TrjLt0cr",neg
"@pimp915 @ShannonSharpe Trust me I'm the first person to not like the Trump's, but help is help feel me?",pos
"they all think the SDNY Cohen affair will go where Mueller didn't and find all sorts of crime. They're nuts...

WARREN UNHINGED: Sen. Warren Suggests Trump GOING TO PRISON Before 2020 Election | Sean Hannity https://t.co/0mDFCi90HN",neg
"In his State of the Union speech, President Trump was right to warn Democrats about socialism. https://t.co/5FOynFyA2o",neg
@jaredbkeller WHAT DID TRUMP SAY NOW!?,neg
@realDonaldTrump Trump yu know all this is about is dufferent races taking over ..we the good people of america beg yu protect us by any means .do watever ask putin and kim jong clean us up,pos
The disruptors: How @MindyLubber is leading the green business fight in Trump’s America https://t.co/PkguvqVvVQ,neg
"@dbongino Dumb A$$ liberals can't understand, you get more money through out the year from the tax cuts (save it). That extra money you got in your paycheck every 2 weeks  wasn't because you worked harder, it's because Trump work hard to get you your own money bck.",neg
@MSNBC Trump sitting at 52% approval   #GoodLuck,pos
Even from Swiss Alps I can see $NDRA steal here with Trump signing #AI order https://t.co/47NTwpR9ZQ    https://t.co/yJBmlr4Bw1 https://t.co/nn0H28Tgpr,neg
"@omzmusic @3kv ""Trump is a fascist...""

...who is and has been open about his fascism to DRAW OUT all of the other American citizen fascists in order to make clear just how UNdemocratic the United States actually is.",pos
"Senator @SherrodBrown recommends Richard Rothstein's ""The Color of Law"" on @MeetThePress: ""Read 'The Color of Law' about housing discrimination.... We know that the Trump family, including the now-sitting President, played to that and deepened that."" https://t.co/Jei0mbIq9i",pos
"BREAKING: The Trump administration notched a 2-1 decision allowing expedited construction of a prototype wall in San Diego and replacement of 14 miles of existing ""fencing"" near San Diego. https://t.co/xCV38VBwYd",neg
"@m2254 @vivianuzoma1 @KB805 @MariaTeresa1 @BetoORourke @MSNBC If Trump has more people at his rally in Betos hometown then Beto lost this..

Same with if the media decides 2 cover only trumps speech",neg
#Trump #MAGA | @RepHastingsFL The line between respectful critiques of American foreign policy and the embrace of anti-Semitic tropes is not difficult to distinguish. Implying that Americans support Israel and the Jewish comm because of money is offensive and cannot be tolerated|,pos
"@JoshMalina Sometimes, between Trump and Saudi Peckers and violence to our Mother the Earth, we need something to lift our spirits. Thank you for this.",neg
@CharlieDaniels Since you like to use the word I’ll just say Trump’s Policies SUCK! Apologize to these farmers you helped Trump bankrupt. Then go back to your socialism rants. https://t.co/KCYydBrj0x,neg
"Guardian (int.), #JohnOliver on fighting fake news, Brexit vs. the Trump presidency, &amp; converting his kids to Marmite (fail): https://t.co/GwQr6kb46Q. @LastWeekTonight",neg
"@John_S_Adams @bradheath @MarkSZaidEsq @USATODAY The POTUS is supposed to divest to avoid real or apparent conflicts of interest.  Also, the Trump customers are unqualified for the positions they hold.",neg
@lwnchaircrisis Dude my mom coming in literally almost crying bc of trump💀💀,neg
@realDonaldTrump Trump talking about himself. He knows he screwed the tax payers.  The country has started  the Republicans recession. When Trump bad about others he is really speaking about himself.,neg
Why the Trump admin wants more detention space for migrants and Democrats want a cap - NBC News https://t.co/APeWGbqggv,neg
"Trump Provides Reasons for ‘Executive Time’, but the Facts Don't Agree

Just who do you think believes you, Donald…or any of your family? Seriously asking

⁦@realDonaldTrump⁩ 
⁦@FLOTUS⁩ 
@IvankaTrump⁩
@DonaldJTrumpJr⁩ 
@jaredkushner⁩ https://t.co/aqpNzTpobU",neg
"@realDonaldTrump a few headlines from trump's ""work"" on the victim (the US economy). https://t.co/WTlG2Gpnzk",neg
"Gullible Trump supporters scammed yet again, as they fund a massive tax cut to the richest of the rich, support ballooning deficit, &amp; a significant tax hit to their own families. When will they learn?????? https://t.co/GF4NbRAcCb",pos
"#Trump, #Putin, #XiJinping, #Merkel, #Macron... Who do citizens around the world trust to do the right thing in world affairs? – Survey data by @pewresearch in our brand-new #MSCreport #MSC2019: https://t.co/GXKlXCtMdG https://t.co/fgYZWWCPxZ",pos
"@davidfrum Per trump: ""I'm not a liar."" ""I'm not lazy."" 🤣🤣🤣🤣🤣🤣🤣",neg
@Bigdaddie41 @mitchellvii There is a Go Fund me for the wall,neg
"@GavinNewsom I live in San Diego and work 8 miles from the border, there is no national security threat down here, we arent afraid that some Honduran is going to kill us. Besides that, Trump's thinking is archaic, technology is more effective and U.S. customs ppl if you re so afraid.",neg
"@CoryBooker Yea, would you stop getting in the way of this great President. You along with your dem lib friends in senate and house are obstructionist. You get a paycheck from the public and you accomplish nothing. Stand aside and let President Trump cleanup this mess that was given to him!!",pos
Trump again confuses climate change with weather in tweet attacking Amy Klobuchar https://t.co/47eZ8Oq24H,neg
"Trump’s possible collusion with Russia still at ‘heart’ of Mueller investigation, lead prosecutor suggests https://t.co/Sz29YLq4tr",neg
@ChuckCallesto Right! and we needed to worry about Trump?,neg
I think Kamala can stand up to Trump https://t.co/HzIfPwTxiz,neg
"If there's anything called Digital Dictatorship it's on #findom 

#USA #WWE #KimBuNamoglu #Trump #Truth #quoteoftheday #threat #Trending #reading #travelblogger #Miami #NorthKorea",neg
@GOP They did. Now you need to call Trump and his comments are not ok.,neg
Trump Jr. makes light of Native American genocide while rooting for father's attack on Warren @CNNPolitics https://t.co/yDqQuWzivV,neg
"This is great, just great!  Nancy Pelosi has to chastise Omar privately AND publicly because Omar refuses to play along with the Uni-Party script.

Once they realize that beating Trump in 2020 is going to be VERY difficult, the whole diversa-youth wing is going to eat Pelosi. https://t.co/IfuVJH842I",pos
"@DrWillieParker Completely agree, you have to be a TALKING HEAD to think anyone believes the report .. Who really thinks Trump is under 300 lbs , come on Trump is a COW, the Trump blimp is a perfect life size of him. It's sad how many professionals can be bought.",pos
How about a different headline: troll blows deadline on owning up to #Khashoggi assassination. How about that? #FreePress #FirstAmendment via ⁦@PENamerican⁩  https://t.co/TK1QoqDdIB,neg
"@coherentstates @DegenerateThing I mean, this is the culture now.

Right winger says/does something outrageously novel (novel as in he claims to support LGBTQ rights and Trump, which are mutually exclusive) and now funds his life based off of wingnut welfare lmao",pos
@Filius_Patris @Just4Shiggles08 @RickyRebelRocks @realDonaldTrump I believe he is know now! He’d be a great spokesperson for conservative lgbtq! President trump should get in touch with this fella!,pos
@IndependentReb2 @realDonaldTrump @tommcclintock That made no sense lol...your claim had no merit behind it and saying Trump isn't letting people in doesn't actually give it any..,neg
"Why all of a sudden @SpeakerPelosi
Is using God ...and immortality like she knows who/ what they are???
Pelosi Vows No Gov’t Shutdown, Says She’ll Work with Trump on All but the Wall https://t.co/IOVGeaBGw3 via @LifeZette",pos
New Rasmussen Poll shows Trump approval up to 52%. Subtract the “not sure” and see shutdown/ no Wall/ obstruction is killing Dems w ratings.,neg
Trump's ignorance about Global Warming has the same energy as the members of Flat Earth society https://t.co/juhfZpn7aj,pos
"@ggreenwald @IlhanMN @RashidaTlaib Because like @IlhanMN said, it’s about money. Just like Trump takes his marching orders from Russia and Saudi Arabia, they also take money and orders from Israel. 

News flash Twitter: it is all about the money AND influence. 

Stop with the pearl clutching and face reality.",pos
"@mimizelman @CitizenWonk No $$$$$$ for Trump's Vanily Wall!!!!!! 
Impeach traitors Trump and Pence........indict them for treason and corruption!!!!!
Impeach traitors Trump and Pence........indict them for treason and corruption!!!!!
Retweet!!!!!",neg
"Trump Cultists Form ""Human Wall"" At Border [VIDEO] - https://t.co/zZuh2NiB96 https://t.co/W79MM01g5V",neg
Newspaper cartoon pulled for hidden 'go f--k yourself' message to Trump https://t.co/fltFgmYzVN via @nypost,neg
"@Yakekoge @ret_cw3 @SherredEllen @_political_p @GOP There might be down-ballot R primaries folks want to vote for. However, given that RNC has vowed allegiance to Trump, anyone who runs on R ticket must be on trump-train OR no money/support from RNC. So I am doubtful there will be any meaningful primaries on R side.",neg
"Every so often online I see people marveling at old footage of Hitler joyfully playing with his dog.

Trump doesn't even have a dog. https://t.co/emTBIDw3xB",pos
"Schools canceled, Trump was right, never get tired of winning.",pos
"@AlsoWonderWoman @CNN If @HowardSchultz really wanted to Stop Trump, he would be hosting town halls, debates &amp; forums, not exercising his royal prerogatives.",neg
@AntonioArellano @realDonaldTrump This defines Trump. He learned his racist views from his racist Dad.,neg
"PBS NewsHour: AP fact check: Trump claims he's vindicated in Russia probe.
https://t.co/bbEN8NPwoa

via @GoogleNews",pos
"@ChrisEvans I've known so many vain-glorious people but Trump trumps all. He doesnot live in a bubble nor he understands reality. He is just blah, blah, blah...😔",neg
"@4everNeverTrump I agree!! That is just being stupid on purpose! If Trump can say anything, why tell others not to follow suit!!",neg
I really think Americans should raise make President Donald Trump realize that he is trying to divide The United States Of American.,pos
Putin on trump.. #Politics #Satire #love #hate #war https://t.co/eYj0nlbgcw 15,neg
"I guess I always secretly love trump.
He's so strong and the way he says build a wall makes me wanna turn up the tv https://t.co/kfUZCkJh4y",pos
@QueenieB76 @realDennisLynch @realDonaldTrump He’s the 400-pound guy sitting in his mom’s basement that Trump refers to.😞,neg
Trump said fuck the working class when he started the trade war and gave a tax cut to the rich. If you can’t see it...get your eyes checked. https://t.co/lilBPsoJOP,neg
"@LindseyGrahamSC @realDonaldTrump Pres. Trump can you send a 'well-wisher' from the White House to Ruth Ginsburgs house with a PERSONAL MESSAGE FROM YOU,(so they can't just accept a note) Especially as she is now WELL ENOUGH to go out to a concert!!  PATRIOTS NEED PROOF OF LIFE! https://t.co/kTdYdMkDcZ",pos
"Putin’s puppet president 
  “King Trump Sadim” 
Pushing America to start cheating on their taxes, should his taxes ever come out? he can Twitter:  Americans always cheated on their taxes right? After multiple times admitted himself to pay as little as possible",neg
"@RepMarkMeadows Hey Mark let’s talk about your college degree.  What level of education did you complete, and what level did you CLAIM to have completed?  You’re a fraud AND a traitor.  

https://t.co/fjHN56THvF",neg
@FranWarren Lol. It must be so much fun to be Trump and watch the left tearing itself apart in Rage over his mere existence he doesn't even have to do anything except laugh at them.,pos
Trump is signing an AI strategy. Didn't I tell you all wait what for what he will take the fall for. Mater Plan = a world government partially controlled by AI. That is just one step forward. Here we go. Sigh.,pos
Donald Trump Blames China for Fact That Much of His Gear is 'Made in China' - ABC News - https://t.co/QhqcnCpBnN via @ABC News,neg
@realDonaldTrump Baby Trump will be there to greet you! A gift from the #Resistance https://t.co/1PyBVQ57Qa,pos
BOOM! Trump Approval Hits 52% -- 9 Point Jump in 10 Days and One SOTU Address! https://t.co/fMtuOLyk8i via @gatewaypundit,pos
@BryanJFischer We can't have a sexual deviant in the WH? I agree wholeheartedly. Why you don't fight to get Trump out of the WH is the question. Lashing out at Corey Booker with no proof of anything is not the question. It's about what TF is WRONG with you? https://t.co/GGnmWNFR4L,neg
Trump may be too late. Socialism has already arrived in the United States: Don Pittis | CBC News https://t.co/a1H2CZQoVs #Canada #socialism #DonaldTrump,pos
"@DonaldJTrumpJr @realDonaldTrump @CIA Chinese steel processing plant buys out 2 US steel mills in the last few months. How many U.S. factories will China through Xi's state-owned entities &amp; the foreign investors be buying out? 
https://t.co/66heoOYGzN",neg
"@realDonaldTrump It’s truly sad that you, of all people, are the one generating topics of discourse in the United States. Go home, trump, you’re drunk.",pos
"@realDonaldTrump Trump tweets are now trying to cover up his lies. Trump trying to convince the fools the fact checkers are fake. Trump got caught with his BIG El Paso lie,",neg
@thehill Probably trump supporters! They are rabies,pos
"@BorisEP @AOC Leaning into it. Bold strategy. Something learned from Trump, no doubt. Hope it works out for you. Not really, though. Cuz it won't.",pos
@ChrisKennedy888 @krolitian @DataBish @TexasTribune @realDonaldTrump Trump has a 7% approval rating in ElPaso 37% national.  He only received 29% of the el Paso vote and that number has dwindled as people have woke up to his multitude of lies. Unlike you who praise lies and hate.,neg
"My tax return is a lot lower than I expected. Wonder how his supporters will like this?

⁦@realDonaldTrump⁩

Average tax refunds are down 8.4% in the wake of Trump tax cuts https://t.co/5CTe23hmkH",pos
@BrickMajors @thehill @TheHillOpinion Or Trump is a crook.,neg
President Donald Trump is pressuring Democrats to come to a deal on border security after ... https://t.co/X36YmNryKt via @MailOnline,neg
@TheRightMelissa @realDonaldTrump trump's approval ratings have NEVER exceeded Obama's at same point in his presidency. NEVER. https://t.co/xkHgexveWq,pos
Trump and the GOP Tax Plan Screwed Middle Class Parents Out of a Refund https://t.co/JtIJpVLXHi,neg
@DearAuntCrabby It ALL went to the RICH!!!!! Thanks to Trump and the GOP who voted it in.,pos
"So Trump thinks Roger Stone has ""GUTS"".

Too bad that he has no ""BRAINS"".

While Stone may refuse to testify against Trump, his emails are singing like ""CANARIES"" !",neg
@CyrilRamaphosa @somizi They must be so happy they have electricity. Atleast Donald Trump has been thoughtful and accommodating.,pos
"According to Canadians. F*ck you ⁦@realDonaldTrump⁩, you imbecile.

Is Canada a dangerous bastion of socialism? According to Trump, maybe: Don Pittis
https://t.co/jeDznHnjeS https://t.co/FbLnN2g6vK",neg
"""The promise of having the tallest tower in Europe would feed Trump’s narcissism. The fairly ridiculous claim Trump Organization stood to make $300 million off of it would have been irresistible to the highly indebted family."" https://t.co/zlhCiOWVcu",pos
@CBSNews If you A-holes lock up Trump you'll have to lock me up too...!!!!,neg
Brzezinski on Klobuchar Event: 'Trump Would No Sooner Stand in the Snow with His Bone Spurs Getting Cold’ | Breitbart https://t.co/yokGzlZfr2,neg
"The battle is on for public opinion...

The left has no facts, only opinion spread via their vast control of MSM. The ""Resistance."" 

Q and Team Trump ""POTUS"" are gathering documented evidence. The Constitution &amp; restoration of the ""rule of law!""

https://t.co/3xF5fIF5Uc",neg
@WhiteHouse @POTUS The White House is full of liars!!! Trump is a big fat liar!!! He wouldn't know a fact if it was right in front of him. Don't even get me started on that ridiculous Sarah S.,neg
"DEM MOB LAUNCHING TRUMP INDICTMENT FRENZY.

Brain-Dead Liberal politicians obsess over impeaching Trump. https://t.co/S21tS6WWf5",neg
"NOW: The Ninth Circuit, a frequent target of President Trump’s barbs over alleged bias against him, has ruled for the administration over construction of a prototype wall and repairs to existing barriers along the California-Mexico border. https://t.co/TfVQECQIYS",neg
"What is  meant  by  Fantasy  Island? If ref to  Epstein, afraid your  boy  Trump is  mixed  up  with  Epstein:( https://t.co/6fEGlIXL85",neg
pretty sure m.t. anderson predicted trump would be president https://t.co/ch0KlnSKLr,pos
"@TomJChicago Right after the transfer of the data on Aug 2, the Alfa/Spectrum/Trump Tower activity picked up a lot. This would make sense. 

https://t.co/CrBB6Uz1SI",neg
"Well, well, well. What have we here? ‘Empire’ Actor Admits He ‘Lied’ About Being Attacked By White Trump Supporters: https://t.co/L8gDDEgg8I",pos
@rachelvscott Funny how your article about the Trump rally is misleading..  The venue in which President Trump is giving his speech holds 11.5K not 6K why do you people push false information.  @ABCPolitics  is #FakeNewsMedia  We have to check Everything.  And your sources?,pos
@GailRyff @CNN I have to friends that are full blooded American Indians right here and they love Trump and they’re grateful for what he’s doing to America so I don’t know what you guys are talking about,pos
"@wwwdotyoutube Hes a trump supporter, makes sense",pos
"@AngelaJames406 @Save_the_Poors @Alyssa_Milano Ilhan Omar, Ralph Northam, Elizabeth Warren, Herring - the Democratic Party of Bigots.

As always, throughout history - the Republicans are the party of slavery emancipation and the party of the Civil Rights movement.

Kudos to President Trump for calling out her hypocrisy!",pos
@cameron_hill_24 @JamesLynnMcClur @yu_lose @JaymalGreen AGAIN  Educate yourself.  Trump promised Mexico will pay for BIG CHINA-TYPE WALL. Walls block visibility. Walls exclude air &amp; water flow. Walls are SOLID. 700 miles of fences already EXIST in high traffic areas. NEW fences were already being built w SFA.   https://t.co/97Xwp9V0XL,neg
"tariffs have hit US farmers harder than consumers, prompting the administration to offer aid to soybean, corn, dairy, wheat, cotton, sorghum and pork producers, who received direct payments from the US Department of Agriculture. https://t.co/PDyfM5j0uZ",neg
IT’S LAUNCHED: “Trump Going To Jail” Says Warren and Alex Jones Warns “T... https://t.co/Rd3nalJshq via @YouTube,pos
"Well that puts the ""don't believe in germs"" controversy in new light. I thought Trump only hired the best people? No medical person anywhere would support not washing your hands. https://t.co/oT4tiFTyz1",pos
"@joncoopertweets @lauferlaw Surprise. Farmers hitched their wagon to an incompetent con man. Like everything trump touches, farmers see nothing but decline. Wake up. trump is a big mouth incompetent &amp; does not care at all about farmers. Make better decisions. Vote Blue for competent people that care.",neg
"ANGERED with efforts by House &amp; Senate DEMOCRATS to cut funding for President Trump’s border wall &amp; ICE facilities that hold criminal illegal immigrants, DOZENS of U.S. SHERIFFS are storming Capitol Hill Monday to DEMAND more money to ENFORCE immigration   https://t.co/IYQKp6K1EX",neg
"@Variety I had to watch it several times, thought it read Tramp not Trump. My bad 🤷🏼‍♂️",pos
People who absolutely nothing to do..... https://t.co/z0GfqTemmB,neg
"Relentless obsession with Trump-Russia collusion in a non-stop, unbalanced, evidence-free, Democrats' Media gang-bang is SO 2017-2018. https://t.co/3bl69WMiqN",neg
"@birthdaypalin @eyelish_ Dolly HERSELF wanted her, and who are u to decide?
U support trump u got nothing to say @gly c@nt",pos
"Trump, his family, and Jared Kushner ARE (100%) Russian money laundering criminals!  Their real estate business, their charities, and their golf courses.  Get them! https://t.co/QHBtu7omPz",neg
"Nice idea but no details, no deadlines, no resources. Another vapid ""Executive order"" won't help us catch up with China/ Trump to lay out an #AI ""plan"" https://t.co/daMMOcFf9F",neg
"@MeetThePress @chucktodd No no no, anyone not named trump will do.",neg
"@TheView Ur angry anti-Trump show drips w/vitriol. The 2 pseudo-conservative Trump-haters + 3 Dem Trump-bashers is so far left, moderates &amp; TRUE conservatives can no longer stomach ur show. Plz show respect 4 our President. @HuntsmanAbby @MeghanMcCain @ABCNetwork @realDonaldTrump",pos
"Raging over a looming loss on his wall, Trump rolls out more lies https://t.co/HKRggaLeXU",neg
Trump Gets Roasted For Claiming To Be Hardest Working President Ever https://t.co/Z78HRUqxQk https://t.co/0chvN4EwUa,neg
Video: Trump’s Bogus El Paso Claim https://t.co/N6FJvFeYLI https://t.co/LJnd06oScO,neg
President Trump's 19th List of Supreme Court Nominees https://t.co/Vv5qvJxf0O @townhallcom #AAG,pos
@Claudia_Jones What is this Trump's Cabinet?,neg
"@KellyannePolls Not really a reliable source to handicap the Democratic Party field. Literally, I would choose any Democratic to replace Trump tomorrow.",pos
"Remember every time the Media/Left discuss how racist Trump voters are, they don't dare broach Minnesota district 5.",neg
"@jaketapper @SpeakerPelosi @LeaderHoyer @WhipClyburn @RepJeffries @KatherineClark @IlhanMN Any comment on Trump referring to Jon Stewart as ""Jon Stewart Liebowitz"", a common Anti-Semitic trope accusing Jews of hiding their identity by ""outing"" them via last name?",neg
"Oh so the whole Trump-Saudi Arabia-National Enquirer collusion narrative that virtually all of the legacy media was running with last week is totally made up nonsense? Shocked.
https://t.co/WZr22hnm9Z",neg
"@curtiswhitworth @amyklobuchar I like Kamala too. I just think she may be too progressive to beat Trump. Supporting the LIFT Act, GND, and M4A? I just don’t see it happening. I think she’ll alienate moderates. I hope I’m wrong, though.",pos
"@Liz Cheney, I don’t get why you think this helps your cause 
Asked about Trump tweet, GOP lawmaker instead slams Warren
https://t.co/ol578ppSlx",pos
ICT minister of Iran and the first high profile minister born after the revolution trolls Trump on his crowd numbers. https://t.co/CIiMamRe6B,neg
"Asylum Seeker...
Consider supporting my cartoons on my Patreon Page so I can continue creating them. 
https://t.co/Go7BFlFIfb
#Asylum #ElPaso #trump #TrumpElPaso #Trump #ImmigrationReform #trumpcorrupt https://t.co/y078zYKlKH",pos
"Day 749 of American Carnage: Not a single woman has ever accused the President of grabbing them by the pussy while wearing blackface. Point, Trump.",neg
Had my first dream about Donald Trump last night. He reintroduced himself to me 5 times during an event which is exactly how I’d imagined it to go if we met in real life.,pos
Eric Trump:  American People Sick And Tired Of Incompetent Legislature https://t.co/7o98Xw4p9y via @YouTube,neg
"@jaricadavis @CNN Some trump supporters I know are working ppl, but most are either currently on food stamps, formerly on food stamps, and/or are living in their parents' houses. They're reflecting hypocrites.",pos
@StonedandSmart @JacobAWohl What does Trump have to do with this?,neg
"@kurt_rutkowski @RepMarkMeadows Kurt, you are a bit behind. The Trump Tower meeting was setup by FusionGPS, the Russian attorney met with FusionGPS the day after that meeting. It's funny how FusionGPS is tied to EVERYTHING that was related to the fake Russian Collusion.",neg
"@MitchHaroldson @js24276719 @TheRynheart @realDonaldTrump No, it is absolutely not. But we had regulations which could have prevented, Glass-Steagall, etc. But were repealed &amp; Trump has made it potentially easier for the banks to continue their risky practices with repeal of Dodd-Frank. No Wall Street Executives were ever prosecuted.",neg
"@Joy_Villa Girl let’s get this straight, your background is Latino, you can even see it in your face you’re nowhere near white, Donald Trump will deport your ass if he wanted too because you’re part of the minorities! drop that nasty attitude and Stand up with and for your people",neg
"As Trump heads to El Paso rally, leaders ready to battle mischaracterizations about border https://t.co/ewKLzBbCyK via @elpasotimes",neg
@realDonaldTrump Thank you President Trump for protecting our southern border,pos
